15:24:24:931 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
15:24:24:944 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
15:24:30:504 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
15:24:30:535 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
15:24:30:698 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
15:25:36:890 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
15:25:36:895 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
15:25:40:253 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
15:25:40:286 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
15:25:43:608 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
15:26:22:354 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
15:26:22:356 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
15:26:25:234 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
15:26:25:259 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
15:26:30:447 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
15:27:13:657 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
15:27:13:661 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
15:27:17:406 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
15:27:17:453 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
15:27:22:637 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
15:27:47:496 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
15:27:47:501 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
15:27:50:574 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
15:27:50:603 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
15:28:51:357 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
15:29:54:983 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
15:29:54:986 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
15:29:58:037 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
15:29:58:081 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
15:29:58:280 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
16:21:56:968 [main] INFO  testCases.TC001_searchText - ******** Starting TC_001_searchText ********
16:22:00:752 [main] INFO  testCases.TC001_searchText - ******** verify if search Text box is displayed on home page ********
16:22:01:577 [main] INFO  testCases.TC001_searchText - ****** Enter text to search and click on search button ******** 
16:22:05:432 [main] INFO  testCases.TC001_searchText - ****** verify you are searchResult page ******** 
16:22:05:485 [main] INFO  testCases.TC001_searchText - ****** Verify if first search result is exact match of entered text******** 
16:22:05:512 [main] INFO  testCases.TC001_searchText - ******** Finished TC_001_searchText ********
17:26:15:510 [main] INFO  testCases.TC001_searchText - ******** Starting TC_001_searchText ********
17:26:19:243 [main] INFO  testCases.TC001_searchText - ******** verify if search Text box is displayed on home page ********
17:26:19:322 [main] INFO  testCases.TC001_searchText - ****** Enter text to search and click on search button ******** 
17:26:23:641 [main] INFO  testCases.TC001_searchText - ****** verify you are searchResult page ******** 
17:26:23:674 [main] INFO  testCases.TC001_searchText - ****** Verify if first search result is exact match of entered text******** 
17:26:23:696 [main] INFO  testCases.TC001_searchText - ******** Finished TC_001_searchText ********
17:27:33:817 [main] INFO  testCases.TC001_searchText - ******** Starting TC_001_searchText ********
17:27:37:564 [main] INFO  testCases.TC001_searchText - ******** verify if search Text box is displayed on home page ********
17:27:37:608 [main] INFO  testCases.TC001_searchText - ****** Enter text to search and click on search button ******** 
17:27:39:668 [main] INFO  testCases.TC001_searchText - ****** verify you are searchResult page ******** 
17:27:39:701 [main] INFO  testCases.TC001_searchText - ****** Verify if first search result is exact match of entered text******** 
17:27:39:800 [main] INFO  testCases.TC001_searchText - ******** Finished TC_001_searchText ********
