10:56:43:657 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
10:56:43:711 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
10:56:48:517 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
10:56:48:562 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
10:56:59:031 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
10:56:59:101 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Click on the first center on the list ********
10:56:59:232 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify if center name and address are the same on the list and on the popup ********
11:01:31:462 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
11:01:31:466 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
11:01:35:571 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
11:01:35:582 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
11:01:46:095 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
11:02:03:937 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
11:02:03:940 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
11:02:07:295 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
11:02:07:305 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
11:02:17:946 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
11:02:46:561 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
11:02:46:567 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
11:02:50:029 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
11:02:50:037 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
11:03:02:518 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
11:03:18:757 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
11:03:18:759 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
